S000028864	telomeric_repeat		TEL01L-TR			chromosome 1		1	61	0	C		2003-09-09	2003-09-09	Terminal stretch of telomeric repeats on the left arm of Chromosome I
S000002143	ORF	Dubious	YAL069W			chromosome 1		1	334	648	W		1996-07-31	1996-07-31	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
S000031098	CDS					YAL069W		1	334	648	W		1996-07-31	1996-07-31	
S000028866	X_element_combinatorial_repeats		TEL01L-XR			chromosome 1		1	335	62	C		2003-09-09	2003-09-09	Telomeric X element combinatorial Repeat region on the left arm of Chromosome I; contains repeats of the D, C, B and A types, as well as Tbf1p binding sites; formerly called SubTelomeric Repeats
S000028594	ORF	Dubious	YAL068W-A			chromosome 1		1	537	791	W		2003-07-29	2003-07-29	Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
S000031372	CDS					YAL068W-A		1	537	791	W		2003-07-29	2003-07-29	
S000121252	ARS		ARS102		ARSI-1	chromosome 1		1	649	1790			2007-03-07	2007-03-07	Autonomously Replicating Sequence
S000028862	telomere		TEL01L			chromosome 1		1	800	0	C	-64	2003-09-09	2003-09-09	Telomeric region on the left arm of Chromosome I; composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats
S000028865	X_element_core_sequence		TEL01L-XC			chromosome 1		1	800	336	C		2003-09-09	2003-09-09	Telomeric X element Core sequence on the left arm of Chromosome I; contains an ARS consensus sequence, an Abf1p binding site consensus sequence and two small overlapping ORFs (YAL068W-A and YAL069W)
S000034593	ARS consensus sequence					TEL01L-XC		1	762	752	C		2003-09-09	2003-09-09	
S000034594	binding_site					TEL01L-XC		1	543	531	C		2003-09-09	2003-09-09	
S000002142	ORF	Uncharacterized	YAL068C			chromosome 1		1	2168	1806	C		1996-07-31	1996-07-31	Hypothetical protein
S000030944	CDS					YAL068C		1	2168	1806	C		1996-07-31	1996-07-31	
S000028593	ORF	Uncharacterized	YAL067W-A			chromosome 1		1	2479	2706	W		2003-07-29	2003-07-29	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
S000031368	CDS					YAL067W-A		1	2479	2706	W		2003-07-29	2003-07-29	
S000121253	ARS		ARS103		ARSI-8	chromosome 1		1	7997	8547			2007-03-07	2007-03-07	Autonomously Replicating Sequence
S000000062	ORF	Verified	YAL067C	SEO1		chromosome 1	L000003363	1	9016	7235	C		1996-07-31	1996-07-31	Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
S000029932	CDS					YAL067C		1	9016	7235	C		1996-07-31	1996-07-31	
S000000061	ORF	Dubious	YAL066W			chromosome 1		1	10091	10399	W		1996-07-31	1996-07-31	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
S000029887	CDS					YAL066W		1	10091	10399	W		1996-07-31	1996-07-31	
S000001817	ORF	Uncharacterized	YAL065C			chromosome 1		1	11951	11565	C		1996-07-31	1996-07-31	Putative protein of unknown function; has homology to FLO1; possible pseudogene
S000037154	CDS					YAL065C		1	11951	11565	C		1996-07-31	1996-07-31	
S000002141	ORF	Uncharacterized	YAL064W-B			chromosome 1		1	12046	12426	W		1999-07-17	1999-07-17	Fungal-specific protein of unknown function
S000034793	CDS					YAL064W-B		1	12046	12426	W		1999-07-17	1999-07-17	
S000002140	ORF	Uncharacterized	YAL064C-A		YAL065C-A	chromosome 1		1	13743	13363	C		1996-07-31	1996-07-31	Putative protein of unknown function; YAL064C-A is not an essential gene
S000031541	CDS					YAL064C-A		1	13743	13363	C		1996-07-31	1996-07-31	
S000000060	ORF	Verified	YAL064W			chromosome 1		1	21525	21851	W		1996-07-31	1996-07-31	Protein of unknown function; may interact with ribosomes, based on co-purification experiments
S000037087	CDS					YAL064W		1	21525	21851	W		1996-07-31	1996-07-31	
S000006787	long_terminal_repeat		YALWdelta1			chromosome 1		1	22231	22553	W		2000-05-19	2000-05-19	Ty1 LTR
S000028813	ORF	Uncharacterized	YAL063C-A			chromosome 1		1	22686	22396	C		2003-07-29	2003-07-29	Putative protein of unknown function; identified by expression profiling and mass spectrometry
S000033613	CDS					YAL063C-A		1	22686	22396	C		2003-07-29	2003-07-29	
S000000059	ORF	Verified	YAL063C	FLO9		chromosome 1	L000003331	1	27968	24000	C		1996-07-31	1996-07-31	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation
S000036982	CDS					YAL063C		1	27968	24000	C		1996-07-31	1996-07-31	
S000118317	ARS		ARS104		ARSI-31	chromosome 1		1	30946	31183			2006-08-30	2006-08-30	Autonomously Replicating Sequence
S000000058	ORF	Verified	YAL062W	GDH3	FUN51	chromosome 1	L000000698	1	31567	32940	W		1996-07-31	1996-07-31	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources
S000036963	CDS					YAL062W		1	31567	32940	W		1996-07-31	1996-07-31	
